cdm_table_name,cdm_schema,is_required
person,CDM,TRUE
observation_period,CDM,TRUE
visit_occurrence,CDM,FALSE
visit_detail,CDM,FALSE
condition_occurrence,CDM,FALSE
drug_exposure,CDM,FALSE
procedure_occurrence,CDM,FALSE
device_exposure,CDM,FALSE
measurement,CDM,FALSE
observation,CDM,FALSE
death,CDM,FALSE
note,CDM,FALSE
note_nlp,CDM,FALSE
specimen,CDM,FALSE
fact_relationship,CDM,FALSE
location,CDM,FALSE
care_site,CDM,FALSE
provider,CDM,FALSE
payer_plan_period,CDM,FALSE
cost,CDM,FALSE
drug_era,CDM,FALSE
dose_era,CDM,FALSE
condition_era,CDM,FALSE
episode,CDM,FALSE
episode_event,CDM,FALSE
metadata,CDM,FALSE
cdm_source,CDM,FALSE
concept,VOCAB,FALSE
vocabulary,VOCAB,FALSE
domain,VOCAB,FALSE
concept_class,VOCAB,FALSE
concept_relationship,VOCAB,FALSE
relationship,VOCAB,FALSE
concept_synonym,VOCAB,FALSE
concept_ancestor,VOCAB,FALSE
source_to_concept_map,VOCAB,FALSE
drug_strength,VOCAB,FALSE
cohort,RESULTS,FALSE
cohort_definition,RESULTS,FALSE
