source,source_field,source_value,omop_table,omop_field,target_domain,target_vocabulary,source_code,concept_id,review_status,notes
synthea,patients.Id,,person,person_id,,,,,STANDARD,Surrogate person_id assigned in dbt; original Id kept in person_source_value.
synthea,patients.GENDER,F,person,gender_concept_id,Gender,Gender,F,8532,STANDARD,OMOP standard concept FEMALE.
synthea,patients.GENDER,M,person,gender_concept_id,Gender,Gender,M,8507,STANDARD,OMOP standard concept MALE.
synthea,patients.RACE,white,person,race_concept_id,Race,Race,white,8527,STANDARD,White.
synthea,patients.RACE,black,person,race_concept_id,Race,Race,black,8516,STANDARD,Black or African American.
synthea,patients.RACE,asian,person,race_concept_id,Race,Race,asian,8515,STANDARD,Asian.
synthea,patients.ETHNICITY,hispanic,person,ethnicity_concept_id,Ethnicity,Ethnicity,hispanic,38003563,STANDARD,Hispanic or Latino.
synthea,patients.ETHNICITY,nonhispanic,person,ethnicity_concept_id,Ethnicity,Ethnicity,nonhispanic,38003564,STANDARD,Not Hispanic or Latino.
synthea,patients.BIRTHDATE,,person,birth_datetime,,,,,STANDARD,Direct date cast.
synthea,patients.DEATHDATE,,death,death_date,,,,,STANDARD,Row created only when DEATHDATE present.
synthea,conditions.CODE,,condition_occurrence,condition_concept_id,Condition,SNOMED,,,RESOLVE_AT_ETL,Join CONCEPT on SNOMED source_code -> standard concept_id.
synthea,observations.CODE,,measurement,measurement_concept_id,Measurement,LOINC,,,RESOLVE_AT_ETL,Numeric labs/vitals; VALUE->value_as_number.
synthea,medications.CODE,,drug_exposure,drug_concept_id,Drug,RxNorm,,,RESOLVE_AT_ETL,Join CONCEPT on RxNorm code.
synthea,procedures.CODE,,procedure_occurrence,procedure_concept_id,Procedure,SNOMED,,,RESOLVE_AT_ETL,Join CONCEPT on SNOMED code.
synthea,encounters.Id,,visit_occurrence,visit_occurrence_id,,,,,STANDARD,Encounter class -> visit_concept_id via lookup.
metabric,data_clinical_patient.SEX,Female,person,gender_concept_id,Gender,Gender,F,8532,STANDARD,Normalize Female->8532.
metabric,data_clinical_patient.SEX,Male,person,gender_concept_id,Gender,Gender,M,8507,STANDARD,Normalize Male->8507.
metabric,data_clinical_patient.AGE_AT_DIAGNOSIS,,observation,value_as_number,Observation,LOINC,30525-0,,RESOLVE_AT_ETL,Age at diagnosis; birth_datetime derived.
metabric,data_clinical_patient.OS_STATUS,DECEASED,death,death_date,,,,,NOT_MAPPED,Decision 1: METABRIC has no calendar date (only AGE_AT_DIAGNOSIS / OS_MONTHS / RFS_MONTHS) so a death_date cannot be derived; DEATH stays empty by decision.
metabric,data_clinical_sample.TUMOR_STAGE,,observation,value_as_number,Observation,SNOMED,,,REVIEW,Stage; map to AJCC staging observation concept.
metabric,data_clinical_sample.TUMOR_SIZE,,measurement,value_as_number,Measurement,LOINC,21889-1,,STANDARD,Decision 8: value stays numeric in mm; unit_concept_id set below.
tcga_brca,data_clinical_patient.SEX,,person,gender_concept_id,Gender,Gender,,,STANDARD,Same normalization as METABRIC SEX.
metabric,data_mutations.ALL,,GENOMIC_RAW,,,,,,PARALLEL_LAYER,Mutations kept raw; linked to person via sample->person crosswalk.
tcga_brca,data_mutations.ALL,,GENOMIC_RAW,,,,,,PARALLEL_LAYER,Mutations kept raw; linked to person via sample->person crosswalk.
metabric,data_clinical_patient.VITAL_STATUS,Living,observation,value_as_concept_id,Observation,SNOMED,,4230556,STANDARD,Decision 2: cause of death is not carried by this slot; the original string stays in value_source_value.
metabric,data_clinical_patient.VITAL_STATUS,Died of Disease,observation,value_as_concept_id,Observation,SNOMED,,434489,STANDARD,Decision 2: cause of death is not carried by this slot; the original string stays in value_source_value.
metabric,data_clinical_patient.VITAL_STATUS,Died of Other Causes,observation,value_as_concept_id,Observation,SNOMED,,434489,STANDARD,Decision 2: cause of death is not carried by this slot; the original string stays in value_source_value.
metabric,data_clinical_sample.CANCER_TYPE_DETAILED,Breast Invasive Ductal Carcinoma,condition_occurrence,condition_concept_id,Condition,SNOMED,,4237178,STANDARD,Decision 3: Infiltrating duct carcinoma of breast.
metabric,data_clinical_sample.CANCER_TYPE_DETAILED,Breast Invasive Lobular Carcinoma,condition_occurrence,condition_concept_id,Condition,SNOMED,,4080865,STANDARD,Decision 3: Infiltrating lobular carcinoma of breast.
metabric,data_clinical_sample.CANCER_TYPE_DETAILED,Breast Mixed Ductal and Lobular Carcinoma,condition_occurrence,condition_concept_id,Condition,SNOMED,,40480215,STANDARD,Decision 3: Mixed ductal and lobular carcinoma of breast.
metabric,data_clinical_sample.CANCER_TYPE_DETAILED,Breast Invasive Mixed Mucinous Carcinoma,condition_occurrence,condition_concept_id,Condition,SNOMED,,40480651,STANDARD,Decision 3: Mucinous carcinoma of breast.
metabric,data_clinical_sample.CANCER_TYPE_DETAILED,Metaplastic Breast Cancer,condition_occurrence,condition_concept_id,Condition,SNOMED,,35622134,STANDARD,Decision 3: Metaplastic carcinoma of breast.
metabric,data_clinical_sample.CANCER_TYPE_DETAILED,Breast Angiosarcoma,condition_occurrence,condition_concept_id,Condition,SNOMED,,36717175,STANDARD,Decision 3: Primary angiosarcoma of breast.
metabric,data_clinical_sample.CANCER_TYPE_DETAILED,Invasive Breast Carcinoma,condition_occurrence,condition_concept_id,Condition,SNOMED,,37017351,STANDARD,Decision 3: Invasive carcinoma of breast; NOS fallback.
metabric,data_clinical_sample.CANCER_TYPE_DETAILED,Breast Invasive Carcinoma (NOS),condition_occurrence,condition_concept_id,Condition,SNOMED,,37017351,STANDARD,Decision 3: Invasive carcinoma of breast; NOS fallback.
metabric,data_clinical_sample.CANCER_TYPE_DETAILED,Breast,condition_occurrence,condition_concept_id,Condition,SNOMED,,4112853,STANDARD,Decision 3: Site only; no histology stated.
tcga_brca,data_clinical_sample.CANCER_TYPE_DETAILED,Breast Invasive Ductal Carcinoma,condition_occurrence,condition_concept_id,Condition,SNOMED,,4237178,STANDARD,Decision 3: Infiltrating duct carcinoma of breast.
tcga_brca,data_clinical_sample.CANCER_TYPE_DETAILED,Breast Invasive Lobular Carcinoma,condition_occurrence,condition_concept_id,Condition,SNOMED,,4080865,STANDARD,Decision 3: Infiltrating lobular carcinoma of breast.
tcga_brca,data_clinical_sample.CANCER_TYPE_DETAILED,Breast Mixed Ductal and Lobular Carcinoma,condition_occurrence,condition_concept_id,Condition,SNOMED,,40480215,STANDARD,Decision 3: Mixed ductal and lobular carcinoma of breast.
tcga_brca,data_clinical_sample.CANCER_TYPE_DETAILED,Breast Invasive Mixed Mucinous Carcinoma,condition_occurrence,condition_concept_id,Condition,SNOMED,,40480651,STANDARD,Decision 3: Mucinous carcinoma of breast.
tcga_brca,data_clinical_sample.CANCER_TYPE_DETAILED,Metaplastic Breast Cancer,condition_occurrence,condition_concept_id,Condition,SNOMED,,35622134,STANDARD,Decision 3: Metaplastic carcinoma of breast.
tcga_brca,data_clinical_sample.CANCER_TYPE_DETAILED,Breast Angiosarcoma,condition_occurrence,condition_concept_id,Condition,SNOMED,,36717175,STANDARD,Decision 3: Primary angiosarcoma of breast.
